,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ponta do sol,73,PT,1593558501,100,38.73,-28.27,63.95,9.42
1,haines junction,90,US,1593558501,63,59.23,-135.44,60.8,6.93
2,sao desiderio,84,IN,1593558501,76,20.51,76.21,75.92,6.58
3,rikitea,37,PF,1593558256,60,-23.12,-134.97,68.97,17.81
4,zhezkazgan,73,KZ,1593558501,61,47.8,67.71,69.4,16.06
5,vaini,75,TO,1593558501,78,-21.2,-175.2,75.2,9.17
6,kroya,78,ID,1593558501,87,-7.63,109.25,75.99,6.62
7,bluff,100,NZ,1593558269,83,-46.6,168.33,39.0,3.0
8,sao jose da coroa grande,84,IN,1593558501,76,20.51,76.21,75.92,6.58
9,jumla,72,NP,1593558502,70,29.27,82.18,61.34,0.51
10,bethel,1,US,1593558295,69,41.37,-73.41,75.2,4.7
11,naze,75,JP,1593558502,100,28.37,129.48,80.6,3.36
12,georgetown,20,MY,1593558264,94,5.41,100.34,78.8,2.24
13,ahuimanu,75,US,1593558502,62,21.44,-157.84,87.8,13.87
14,vila velha,1,PT,1593558502,88,42.03,-8.16,66.0,6.93
15,kapaa,20,US,1593558502,66,22.08,-159.32,84.2,11.41
16,new norfolk,75,LR,1593558502,94,6.65,-10.59,77.0,3.2
17,busselton,69,AU,1593558326,66,-33.65,115.33,51.01,9.93
18,anadyr,90,RU,1593558502,81,64.75,177.48,46.4,4.47
19,punta arenas,60,PH,1593558503,86,8.99,125.34,78.26,4.34
20,sao joao da barra,84,IN,1593558501,76,20.51,76.21,75.92,6.58
21,iqaluit,20,CA,1593558503,75,63.75,-68.51,42.8,5.82
22,coruripe,30,BR,1593558503,86,-10.13,-36.18,74.17,9.1
23,thompson,75,CA,1593558503,77,55.74,-97.86,68.0,12.75
24,kintinku,44,TZ,1593558503,67,-5.88,35.23,64.85,2.04
25,barrow,90,US,1593558503,86,71.29,-156.79,39.2,10.29
26,cape town,90,CL,1593558503,100,-36.41,-71.9,50.0,4.7
27,stornoway,75,GB,1593558503,93,58.21,-6.39,53.01,16.11
28,kavali,94,IN,1593558503,70,14.92,79.98,84.2,8.57
29,petropavlovsk-kamchatskiy,100,RU,1593558209,55,53.05,158.65,64.4,2.24
